target,target_a_english,target_a_freq,id
banda,band/gang,3.396199347,1
baza,trick/ cuckoo-hawk,0.954242509,2
braza,breaststroke,0.477121255,3
caballa,mackerel,1.342422681,4
caña,"cane, reed, glass of beer",2.173186268,5
cepa,"type of wine, strain, root, ancestry",1.903089987,6
cigarra,cicada,1.041392685,7
cinta,"ribbon, tape",3.381656483,8
coca,coca plant; coca cola; cocaine,2.828659897,9
cochinilla,"pill bug, cochineal",0.477121255,10
correa,"belt, leash",2.401400541,11
costa,"coast, expense",3.202215776,12
cota,"coat of arms, elevation",1.342422681,13
cuaderna,(nautical) timber,1.041392685,14
cuba,"barrel, Cuba",2.677606953,15
cuenca,"eye socket, watershed, vallue",1.414973348,16
fauna,fauna,1.633468456,17
feta,feta cheese,1.041392685,18
foca,seal,2.021189299,19
fonda,"small restaurant, boarding house, stall/canteen",1.447158031,20
gimnasia,Gymnastics,2.50242712,21
gotera,"leak, gutter",1.672097858,22
grama,"grass, lawn (Carribean)",1.431363764,23
libreta,notebook,2.29666519,24
loma,"hill, suburb",1.602059991,25
moda,"fashion, fad",3.094121596,26
mota,"speck, pill (of fabric), fluff",1.785329835,27
perrera,"dog house, pound",2.075546961,28
plata,"silver, money",3.164947373,29
plaza,plaza,2.802089258,30
puerta,"door, gate",4.136149586,31
pulpa,"soft part of animals body, pulp ",1.579783597,32
pupila,pupil of the eye,1.591064607,33
rama,branch,2.404833717,34
rodilla,knee,2.77815125,35
rótula,kneecap,1.414973348,36
rumba,rumba dance,1.556302501,37
sátira,satire,1.51851394,38
seta,mushroom,0.954242509,39
sigla,"initial, acronym",0.77815125,40
solana,"strong sunshine, sun terrace, solarium",1.255272505,41
tina,"vat, large earthenware jar",3.053846427,42
tormenta,thunderstorm,3.160168293,43
trompa,"snout, trunk, (musical) horn, drinking sess",1.447158031,44
tuba,tuba,1.672097858,45
zapata,"brake shoe, washer (of car)",1.301029996,46
bando,"Faction, party, swarm",2.359835482,1
bazo,spleen,2.11058971,2
brazo,"arm (anatomy), branch, limb (of a tree)",3.365300749,3
caballo,horse,3.412796429,4
caño,"tube, pipel spout, gutter ",2.117271296,5
cepo,"snare, trap shackle",1.230448921,6
cigarro,cigar,2.491361694,7
cinto,belt,1.662757832,8
coco,"coconut, weevil, bogeyman",2.618048097,9
cochinillo,suckling pig,0.84509804,10
correo,mail,3.252367514,11
costo,cost,2.707570176,12
coto,"preserve, wildlife, landmark, limit",1.176091259,13
cuaderno,notebook,2.352182518,14
cubo,"cube, bucket/pail (SP, CB)",2.5289167,15
cuenco,bowl,1.230448921,16
fauno,faun,1.301029996,17
feto,"fetus, hideous person (SP)",2.149219113,18
foco,"focus, spotlight, lightbulb",2.161368002,19
fondo,"bottom, back, fund, ground",3.442322956,20
gimnasio,gymnasium,3.01911629,21
gotero,eyedropper,1.113943352,22
gramo,gram,1.968482949,23
libreto,libretto (text of dramatic musical work),1.812913357,24
lomo,"back (of body), loin, fillet, spine, crease, blunt edge",2.117271296,25
modo,"way, manner",3.81517913,26
moto,"short for motorcycle, milestone",2.853698212,27
perrero,dogcatcher,1.079181246,28
plato,plate,3.062957834,29
plazo,"perdio, deadline, installment",2.822821645,30
puerto,"port, harbour",2.903089987,31
pulpo,octopus,1.908485019,32
pupilo,"orphan, houseguest, pupil",1.230448921,33
ramo,"bouquet, branch",2.227886705,34
rodillo,"roller, rolling pin",1.431363764,35
rótulo,"sign, nameplate, price tag, label",1.301029996,36
rumbo,"course, heading",2.876794976,37
sátiro,satyr,0.698970004,38
seto,"fence, hedge",1.113943352,39
siglo,century,3.092018471,40
solano,nightshade,1.041392685,41
tino,"skill/ability, good judgement, moderation, tact",1.579783597,42
tormento,"torment, torture",1.838849091,43
trompo,"spinning toy, (car) doghnout",1.278753601,44
tubo,tube,2.744292983,45
zapato,shoe,2.85308953,46
